attrition_id,employee_id,department,tenure_years,performance_status,attrition_risk,risk_score,exit_status
ATTR0001187,EMP01187,Finance,3,Poor,Low,25,Active
ATTR0001188,EMP01188,Marketing,9,Good,Medium,51,Active
ATTR0001189,EMP01189,Operations,4,Poor,Medium,56,Active
ATTR0001190,EMP01190,Finance,5,Average,High,77,Active
ATTR0001191,EMP01191,Marketing,9,Excellent,Low,34,Active
ATTR0001192,EMP01192,Marketing,3,Excellent,Medium,71,Active
ATTR0001193,EMP01193,IT,7,Good,High,89,Active
ATTR0001194,EMP01194,HR,1,Good,High,77,Active
ATTR0001195,EMP01195,Finance,1,Average,High,90,Active
ATTR0001196,EMP01196,Sales,7,Average,Low,36,Active
ATTR0001197,EMP01197,IT,2,Excellent,Medium,69,Active
ATTR0001198,EMP01198,HR,4,Good,Low,24,Active
ATTR0001199,EMP01199,HR,1,Excellent,Low,44,Resigned
ATTR0001200,EMP01200,Operations,11,Average,Medium,67,Active
ATTR0001201,EMP01201,Sales,6,Good,Low,31,Active
ATTR0001202,EMP01202,IT,8,Good,Medium,58,Active
ATTR0001203,EMP01203,Operations,9,Good,Low,23,Active
ATTR0001204,EMP01204,Marketing,5,Excellent,Medium,58,Active
ATTR0001205,EMP01205,Sales,4,Poor,High,90,Active
ATTR0001206,EMP01206,Sales,6,Poor,Medium,61,Resigned
ATTR0001207,EMP01207,HR,2,Excellent,Low,40,Active
ATTR0001208,EMP01208,Operations,9,Excellent,High,94,Active
ATTR0001209,EMP01209,Operations,7,Good,Low,46,Active
ATTR0001210,EMP01210,Finance,0,Excellent,Medium,72,Active
ATTR0001211,EMP01211,Operations,9,Poor,Low,22,Active
ATTR0001212,EMP01212,Finance,7,Poor,Medium,57,Resigned
ATTR0001213,EMP01213,IT,7,Average,Low,35,Resigned
ATTR0001214,EMP01214,Sales,0,Poor,Low,41,Active
ATTR0001215,EMP01215,Sales,4,Excellent,Low,40,Active
ATTR0001216,EMP01216,Operations,1,Poor,Low,41,Active
ATTR0001217,EMP01217,IT,5,Average,Low,32,Active
ATTR0001218,EMP01218,HR,10,Good,Medium,64,Active
ATTR0001219,EMP01219,Marketing,3,Excellent,Low,45,Active
ATTR0001220,EMP01220,Finance,6,Excellent,Medium,73,Active
ATTR0001221,EMP01221,Operations,5,Poor,Low,31,Resigned
ATTR0001222,EMP01222,HR,11,Average,Low,43,Active
ATTR0001223,EMP01223,IT,6,Average,Low,42,Active
ATTR0001224,EMP01224,Operations,5,Excellent,Low,45,Active
ATTR0001225,EMP01225,Sales,6,Poor,Medium,59,Resigned
ATTR0001226,EMP01226,IT,5,Good,Medium,50,Active
ATTR0001227,EMP01227,Finance,1,Excellent,Low,21,Active
ATTR0001228,EMP01228,Marketing,4,Excellent,Medium,55,Active
ATTR0001229,EMP01229,IT,5,Average,Low,24,Active
ATTR0001230,EMP01230,Sales,2,Poor,Low,29,Active
ATTR0001231,EMP01231,Marketing,5,Poor,Low,34,Resigned
ATTR0001232,EMP01232,HR,5,Poor,High,83,Active
ATTR0001233,EMP01233,HR,4,Excellent,High,85,Active
ATTR0001234,EMP01234,Operations,3,Good,Medium,63,Active
ATTR0001235,EMP01235,Marketing,8,Poor,High,93,Active
ATTR0001236,EMP01236,HR,10,Excellent,High,87,Active
ATTR0001237,EMP01237,Marketing,6,Excellent,Medium,71,Active
ATTR0001238,EMP01238,IT,2,Poor,Low,41,Active
ATTR0001239,EMP01239,Finance,10,Poor,Medium,71,Active
ATTR0001240,EMP01240,Marketing,5,Good,Low,47,Active
ATTR0001241,EMP01241,Sales,8,Good,Low,36,Active
ATTR0001242,EMP01242,Marketing,5,Good,High,75,Active
ATTR0001243,EMP01243,Sales,4,Good,High,82,Active
ATTR0001244,EMP01244,Marketing,6,Poor,Low,35,Active
ATTR0001245,EMP01245,HR,8,Excellent,Medium,59,Active
ATTR0001246,EMP01246,Finance,5,Excellent,High,95,Active
ATTR0001247,EMP01247,Finance,7,Excellent,Medium,73,Active
ATTR0001248,EMP01248,HR,3,Good,Low,47,Active
ATTR0001249,EMP01249,Finance,6,Excellent,Medium,61,Active
ATTR0001250,EMP01250,Sales,5,Poor,Low,24,Active
ATTR0001251,EMP01251,Sales,10,Good,Low,42,Resigned
ATTR0001252,EMP01252,IT,2,Excellent,High,83,Active
ATTR0001253,EMP01253,Marketing,1,Average,Low,29,Active
ATTR0001254,EMP01254,IT,4,Good,Low,33,Active
ATTR0001255,EMP01255,Operations,6,Excellent,High,87,Active
ATTR0001256,EMP01256,Finance,4,Excellent,High,93,Active
ATTR0001257,EMP01257,HR,11,Excellent,High,91,Active
ATTR0001258,EMP01258,Sales,1,Good,High,82,Active
ATTR0001259,EMP01259,HR,0,Average,Medium,53,Active
ATTR0001260,EMP01260,Marketing,2,Average,Medium,59,Resigned
ATTR0001261,EMP01261,HR,10,Good,Low,33,Active
ATTR0001262,EMP01262,Sales,4,Excellent,Medium,65,Active
ATTR0001263,EMP01263,IT,5,Excellent,Low,23,Active
ATTR0001264,EMP01264,Sales,4,Excellent,Low,42,Active
ATTR0001265,EMP01265,HR,2,Good,High,75,Active
ATTR0001266,EMP01266,HR,10,Average,Low,20,Resigned
ATTR0001267,EMP01267,Marketing,5,Excellent,High,91,Active
ATTR0001268,EMP01268,Finance,8,Average,Low,35,Active
ATTR0001269,EMP01269,HR,9,Good,High,78,Active
ATTR0001270,EMP01270,HR,8,Excellent,High,85,Active
ATTR0001271,EMP01271,IT,6,Excellent,Medium,66,Active
ATTR0001272,EMP01272,Marketing,8,Excellent,Low,24,Active
ATTR0001273,EMP01273,Sales,5,Excellent,High,86,Active
ATTR0001274,EMP01274,Operations,7,Poor,Low,35,Active
ATTR0001275,EMP01275,IT,4,Excellent,High,90,Active
ATTR0001276,EMP01276,Sales,10,Excellent,Low,43,Active
ATTR0001277,EMP01277,Operations,9,Good,Low,47,Active
ATTR0001278,EMP01278,Finance,2,Poor,Low,42,Active
ATTR0001279,EMP01279,Sales,10,Excellent,Low,28,Active
ATTR0001280,EMP01280,Operations,4,Poor,Low,36,Active
ATTR0001281,EMP01281,IT,10,Average,Low,20,Active
ATTR0001282,EMP01282,Operations,0,Good,High,75,Active
ATTR0001283,EMP01283,HR,11,Good,High,76,Active
ATTR0001284,EMP01284,Marketing,7,Average,Medium,74,Active
ATTR0001285,EMP01285,Marketing,7,Excellent,High,93,Active
ATTR0001286,EMP01286,Finance,8,Average,Low,23,Resigned
ATTR0001287,EMP01287,Finance,8,Average,High,96,Active
ATTR0001288,EMP01288,Sales,0,Excellent,Low,34,Active
ATTR0001289,EMP01289,Operations,4,Good,Low,26,Active
ATTR0001290,EMP01290,Operations,5,Poor,Low,20,Active
ATTR0001291,EMP01291,Finance,3,Excellent,Low,23,Active
ATTR0001292,EMP01292,Operations,5,Good,Medium,67,Resigned
ATTR0001293,EMP01293,Finance,6,Poor,High,82,Active
ATTR0001294,EMP01294,Finance,10,Average,High,94,Active
ATTR0001295,EMP01295,Operations,5,Poor,Medium,55,Active
ATTR0001296,EMP01296,Marketing,2,Excellent,Low,23,Active
ATTR0001297,EMP01297,Sales,2,Poor,High,95,Active
ATTR0001298,EMP01298,Finance,1,Average,Medium,61,Active
ATTR0001299,EMP01299,Sales,10,Excellent,Low,37,Active
ATTR0001300,EMP01300,IT,11,Excellent,Low,38,Active
ATTR0001301,EMP01301,IT,7,Good,High,90,Active
ATTR0001302,EMP01302,Marketing,4,Excellent,Low,21,Active
ATTR0001303,EMP01303,Finance,11,Average,Medium,68,Resigned
ATTR0001304,EMP01304,Sales,1,Average,High,87,Active
ATTR0001305,EMP01305,Finance,6,Excellent,Low,26,Active
ATTR0001306,EMP01306,IT,2,Poor,Low,29,Active
ATTR0001307,EMP01307,Operations,2,Good,High,91,Active
ATTR0001308,EMP01308,Sales,10,Average,High,84,Active
ATTR0001309,EMP01309,IT,0,Excellent,Low,31,Resigned
ATTR0001310,EMP01310,IT,3,Poor,Medium,55,Active
ATTR0001311,EMP01311,Operations,11,Excellent,Low,47,Active
ATTR0001312,EMP01312,Finance,7,Poor,Medium,65,Active
ATTR0001313,EMP01313,Operations,1,Excellent,High,95,Active
ATTR0001314,EMP01314,IT,2,Good,Low,33,Active
ATTR0001315,EMP01315,Sales,11,Poor,High,77,Active
ATTR0001316,EMP01316,Sales,6,Good,Low,27,Active
ATTR0001317,EMP01317,Operations,8,Excellent,High,90,Active
ATTR0001318,EMP01318,Finance,1,Good,High,75,Active
ATTR0001319,EMP01319,Operations,2,Excellent,High,96,Active
ATTR0001320,EMP01320,Finance,3,Good,High,94,Active
ATTR0001321,EMP01321,Finance,11,Excellent,Low,21,Resigned
ATTR0001322,EMP01322,IT,10,Average,High,85,Active
ATTR0001323,EMP01323,HR,10,Average,Low,29,Active
ATTR0001324,EMP01324,Sales,4,Good,Low,30,Active
ATTR0001325,EMP01325,Operations,9,Excellent,Low,28,Resigned
ATTR0001326,EMP01326,Operations,6,Excellent,High,99,Active
ATTR0001327,EMP01327,HR,2,Excellent,Low,38,Active
ATTR0001328,EMP01328,HR,4,Excellent,Medium,63,Active
ATTR0001329,EMP01329,HR,1,Excellent,Medium,73,Active
ATTR0001330,EMP01330,HR,10,Good,Low,40,Active
ATTR0001331,EMP01331,HR,6,Good,High,91,Active
ATTR0001332,EMP01332,Marketing,1,Excellent,Low,46,Resigned
ATTR0001333,EMP01333,HR,5,Poor,High,95,Active
ATTR0001334,EMP01334,Finance,8,Excellent,High,95,Active
ATTR0001335,EMP01335,Marketing,9,Good,Low,24,Active
ATTR0001336,EMP01336,IT,11,Good,Low,25,Active
ATTR0001337,EMP01337,Sales,10,Excellent,Low,46,Active
ATTR0001338,EMP01338,Marketing,1,Average,Medium,61,Active
ATTR0001339,EMP01339,Finance,9,Excellent,Medium,63,Active
ATTR0001340,EMP01340,IT,11,Good,Low,29,Active
ATTR0001341,EMP01341,IT,5,Good,Low,43,Active
ATTR0001342,EMP01342,Sales,5,Poor,Medium,56,Active
ATTR0001343,EMP01343,IT,7,Good,Low,25,Resigned
ATTR0001344,EMP01344,IT,5,Poor,Low,26,Active
ATTR0001345,EMP01345,Sales,9,Excellent,Medium,54,Active
ATTR0001346,EMP01346,Marketing,7,Poor,Medium,62,Active
ATTR0001347,EMP01347,HR,3,Excellent,Low,38,Resigned
ATTR0001348,EMP01348,Operations,0,Good,Medium,74,Active
ATTR0001349,EMP01349,Operations,5,Good,Medium,50,Active
ATTR0001350,EMP01350,Marketing,8,Excellent,High,79,Active
ATTR0001351,EMP01351,HR,3,Excellent,Low,26,Resigned
ATTR0001352,EMP01352,HR,9,Excellent,High,94,Active
ATTR0001353,EMP01353,Operations,10,Average,High,94,Active
ATTR0001354,EMP01354,HR,3,Good,Medium,67,Resigned
ATTR0001355,EMP01355,Marketing,1,Poor,Low,22,Active
ATTR0001356,EMP01356,IT,2,Poor,High,92,Active
ATTR0001357,EMP01357,Operations,6,Good,Low,33,Active
ATTR0001358,EMP01358,IT,1,Good,High,92,Active
ATTR0001359,EMP01359,IT,2,Poor,Low,45,Active
ATTR0001360,EMP01360,Finance,7,Excellent,Medium,50,Active
ATTR0001361,EMP01361,Finance,2,Average,Low,40,Active
ATTR0001362,EMP01362,IT,2,Good,Medium,70,Active
ATTR0001363,EMP01363,Operations,9,Average,High,87,Resigned
ATTR0001364,EMP01364,Sales,2,Excellent,Low,49,Active
ATTR0001365,EMP01365,Marketing,9,Average,High,95,Active
ATTR0001366,EMP01366,Sales,8,Good,Low,26,Active
ATTR0001367,EMP01367,Operations,10,Average,High,95,Active
ATTR0001368,EMP01368,IT,9,Good,Medium,52,Active
ATTR0001369,EMP01369,Marketing,1,Average,High,89,Active
ATTR0001370,EMP01370,Marketing,11,Average,Medium,58,Active
ATTR0001371,EMP01371,Sales,0,Good,Low,32,Active
ATTR0001372,EMP01372,Sales,3,Poor,Low,28,Active
ATTR0001373,EMP01373,Marketing,8,Excellent,Low,21,Resigned
ATTR0001374,EMP01374,Marketing,11,Poor,Medium,71,Active
ATTR0001375,EMP01375,Finance,7,Average,High,88,Active
ATTR0001376,EMP01376,IT,7,Average,Low,46,Active
ATTR0001377,EMP01377,HR,11,Poor,Low,30,Active
ATTR0001378,EMP01378,Sales,2,Excellent,High,97,Active
ATTR0001379,EMP01379,IT,5,Good,Medium,55,Active
ATTR0001380,EMP01380,Marketing,4,Excellent,Medium,61,Active
ATTR0001381,EMP01381,Finance,8,Poor,Medium,55,Active
ATTR0001382,EMP01382,Sales,3,Average,Medium,56,Active
ATTR0001383,EMP01383,IT,1,Average,High,75,Active
ATTR0001384,EMP01384,Sales,9,Excellent,Medium,50,Active
ATTR0001385,EMP01385,HR,11,Good,Low,43,Active
ATTR0001386,EMP01386,Operations,5,Good,Low,28,Active
ATTR0001387,EMP01387,Finance,5,Good,High,82,Active
ATTR0001388,EMP01388,Sales,10,Average,High,95,Active
ATTR0001389,EMP01389,Sales,1,Poor,Medium,55,Active
ATTR0001390,EMP01390,Marketing,4,Good,Medium,57,Active
ATTR0001391,EMP01391,Sales,3,Poor,Low,35,Active
ATTR0001392,EMP01392,Sales,3,Good,Medium,53,Active
ATTR0001393,EMP01393,Sales,1,Excellent,Low,24,Active
ATTR0001394,EMP01394,HR,2,Good,Medium,61,Active
ATTR0001395,EMP01395,IT,6,Good,High,78,Resigned
ATTR0001396,EMP01396,Sales,5,Excellent,Medium,53,Active
ATTR0001397,EMP01397,IT,10,Excellent,Medium,72,Active
ATTR0001398,EMP01398,Finance,10,Poor,Medium,61,Active
ATTR0001399,EMP01399,IT,3,Average,Low,40,Active
ATTR0001400,EMP01400,Marketing,1,Excellent,Low,47,Active
ATTR0001401,EMP01401,HR,5,Good,Low,33,Active
ATTR0001402,EMP01402,IT,3,Good,Medium,57,Active
ATTR0001403,EMP01403,Finance,4,Excellent,High,94,Active
ATTR0001404,EMP01404,Marketing,1,Poor,High,84,Active
ATTR0001405,EMP01405,Marketing,7,Excellent,Medium,64,Active
ATTR0001406,EMP01406,HR,1,Average,Medium,70,Active
ATTR0001407,EMP01407,Finance,5,Excellent,Low,30,Resigned
ATTR0001408,EMP01408,HR,3,Excellent,High,98,Active
ATTR0001409,EMP01409,Marketing,6,Average,High,75,Active
ATTR0001410,EMP01410,HR,8,Average,Medium,68,Resigned
ATTR0001411,EMP01411,HR,11,Excellent,Low,23,Active
ATTR0001412,EMP01412,IT,6,Average,Low,20,Active
ATTR0001413,EMP01413,Sales,2,Excellent,Medium,50,Resigned
ATTR0001414,EMP01414,Finance,2,Average,High,84,Active
ATTR0001415,EMP01415,IT,6,Good,High,93,Resigned
ATTR0001416,EMP01416,Finance,10,Poor,Low,37,Active
ATTR0001417,EMP01417,Operations,7,Good,Low,36,Active
ATTR0001418,EMP01418,Marketing,0,Good,Low,23,Active
ATTR0001419,EMP01419,HR,4,Excellent,High,75,Active
ATTR0001420,EMP01420,IT,6,Excellent,Low,31,Active
ATTR0001421,EMP01421,Marketing,5,Average,High,97,Active
ATTR0001422,EMP01422,HR,6,Good,High,89,Resigned
ATTR0001423,EMP01423,HR,9,Poor,Medium,70,Active
ATTR0001424,EMP01424,IT,4,Average,Medium,69,Active
ATTR0001425,EMP01425,Marketing,3,Average,High,89,Active
ATTR0001426,EMP01426,Sales,6,Poor,Medium,74,Active
ATTR0001427,EMP01427,Marketing,10,Average,Low,29,Active
ATTR0001428,EMP01428,IT,6,Excellent,High,80,Resigned
ATTR0001429,EMP01429,IT,1,Excellent,Low,29,Active
ATTR0001430,EMP01430,Marketing,2,Excellent,Medium,55,Active
ATTR0001431,EMP01431,Marketing,5,Excellent,Medium,65,Active
ATTR0001432,EMP01432,Sales,9,Poor,Low,21,Active
ATTR0001433,EMP01433,Marketing,2,Excellent,Medium,62,Active
ATTR0001434,EMP01434,Sales,5,Average,Medium,55,Active
ATTR0001435,EMP01435,Finance,2,Good,Medium,60,Active
ATTR0001436,EMP01436,Marketing,5,Good,Low,29,Active
ATTR0001437,EMP01437,IT,2,Excellent,Medium,69,Active
ATTR0001438,EMP01438,HR,2,Poor,Medium,64,Active
ATTR0001439,EMP01439,Sales,9,Good,High,76,Active
ATTR0001440,EMP01440,IT,4,Good,Low,49,Active
ATTR0001441,EMP01441,Operations,6,Poor,High,81,Active
ATTR0001442,EMP01442,IT,11,Poor,Low,22,Active
ATTR0001443,EMP01443,Marketing,8,Excellent,High,91,Active
ATTR0001444,EMP01444,Finance,3,Good,High,97,Resigned
ATTR0001445,EMP01445,Marketing,9,Poor,Low,41,Active
ATTR0001446,EMP01446,Operations,3,Good,High,86,Active
ATTR0001447,EMP01447,HR,10,Excellent,Low,26,Active
ATTR0001448,EMP01448,IT,2,Poor,High,82,Active
ATTR0001449,EMP01449,Sales,9,Average,High,100,Active
ATTR0001450,EMP01450,Marketing,6,Good,High,87,Active
ATTR0001451,EMP01451,Operations,1,Excellent,High,80,Active
ATTR0001452,EMP01452,Sales,0,Average,Low,21,Active
ATTR0001453,EMP01453,HR,9,Poor,Medium,74,Active
ATTR0001454,EMP01454,Marketing,10,Excellent,Low,20,Active
ATTR0001455,EMP01455,IT,1,Good,Low,38,Active
ATTR0001456,EMP01456,Operations,11,Poor,Medium,54,Active
ATTR0001457,EMP01457,Operations,6,Good,Low,39,Active
ATTR0001458,EMP01458,Operations,10,Good,Medium,53,Active
ATTR0001459,EMP01459,Sales,8,Good,High,75,Active
ATTR0001460,EMP01460,Sales,2,Excellent,High,79,Active
ATTR0001461,EMP01461,IT,11,Poor,Medium,67,Active
ATTR0001462,EMP01462,Sales,4,Good,Medium,60,Active
ATTR0001463,EMP01463,Marketing,3,Good,High,94,Active
ATTR0001464,EMP01464,Finance,4,Average,Low,42,Active
ATTR0001465,EMP01465,Sales,10,Poor,Medium,70,Active
ATTR0001466,EMP01466,IT,0,Average,Medium,73,Active
ATTR0001467,EMP01467,IT,5,Average,High,83,Active
ATTR0001468,EMP01468,Sales,5,Good,Low,22,Active
ATTR0001469,EMP01469,Operations,7,Excellent,High,91,Resigned
ATTR0001470,EMP01470,Marketing,2,Excellent,High,85,Active
ATTR0001471,EMP01471,IT,3,Average,Low,27,Active
ATTR0001472,EMP01472,IT,9,Good,Low,40,Active
ATTR0001473,EMP01473,Sales,9,Good,Medium,57,Active
ATTR0001474,EMP01474,Marketing,2,Excellent,High,95,Active
ATTR0001475,EMP01475,Marketing,11,Excellent,Low,33,Active
ATTR0001476,EMP01476,Marketing,1,Excellent,Medium,50,Active
ATTR0001477,EMP01477,Operations,2,Good,Low,26,Active
ATTR0001478,EMP01478,HR,5,Excellent,High,89,Active
ATTR0001479,EMP01479,Finance,5,Average,Medium,74,Active
ATTR0001480,EMP01480,Marketing,5,Average,Medium,53,Active
ATTR0001481,EMP01481,HR,6,Excellent,Medium,65,Active
ATTR0001482,EMP01482,Marketing,10,Average,Low,36,Active
ATTR0001483,EMP01483,IT,7,Average,High,77,Active
ATTR0001484,EMP01484,Finance,7,Excellent,Medium,68,Resigned
ATTR0001485,EMP01485,Marketing,11,Poor,Low,31,Active
ATTR0001486,EMP01486,Operations,5,Good,Low,32,Active
ATTR0001487,EMP01487,Finance,9,Good,Low,44,Active
ATTR0001488,EMP01488,Marketing,4,Average,Medium,60,Active
ATTR0001489,EMP01489,IT,4,Average,Medium,53,Active
ATTR0001490,EMP01490,Finance,11,Excellent,High,85,Active
ATTR0001491,EMP01491,Operations,0,Average,High,95,Active
ATTR0001492,EMP01492,Marketing,11,Poor,Low,20,Resigned
ATTR0001493,EMP01493,Finance,1,Average,Medium,74,Active
ATTR0001494,EMP01494,Finance,11,Good,High,75,Active
ATTR0001495,EMP01495,HR,8,Good,High,88,Active
ATTR0001496,EMP01496,HR,2,Good,High,91,Active
ATTR0001497,EMP01497,IT,1,Excellent,Medium,60,Resigned
ATTR0001498,EMP01498,Sales,0,Average,High,89,Active
ATTR0001499,EMP01499,Operations,8,Average,Low,20,Active
ATTR0001500,EMP01500,Sales,3,Good,High,84,Active
ATTR0001501,EMP01501,HR,8,Average,Low,39,Active
ATTR0001502,EMP01502,Sales,3,Poor,High,99,Active
ATTR0001503,EMP01503,Marketing,8,Good,Medium,59,Active
ATTR0001504,EMP01504,Operations,11,Average,Low,42,Active
ATTR0001505,EMP01505,IT,1,Poor,High,79,Active
ATTR0001506,EMP01506,HR,9,Poor,High,92,Active
ATTR0001507,EMP01507,IT,3,Good,Low,22,Active
ATTR0001508,EMP01508,Marketing,7,Average,Low,48,Active
ATTR0001509,EMP01509,Operations,11,Poor,Medium,73,Active
ATTR0001510,EMP01510,Finance,6,Poor,Medium,70,Active
ATTR0001511,EMP01511,Finance,5,Excellent,Low,45,Active
ATTR0001512,EMP01512,Marketing,4,Poor,Low,33,Resigned
ATTR0001513,EMP01513,Marketing,3,Good,Medium,56,Active
ATTR0001514,EMP01514,HR,7,Poor,High,93,Active
ATTR0001515,EMP01515,Operations,5,Good,Medium,73,Resigned
ATTR0001516,EMP01516,HR,7,Excellent,High,82,Active
ATTR0001517,EMP01517,IT,10,Excellent,Low,36,Active
ATTR0001518,EMP01518,IT,1,Average,Low,39,Active
ATTR0001519,EMP01519,Sales,7,Average,Medium,65,Active
ATTR0001520,EMP01520,Finance,6,Poor,Medium,55,Active
ATTR0001521,EMP01521,HR,11,Good,High,93,Resigned
ATTR0001522,EMP01522,IT,2,Poor,Low,42,Active
ATTR0001523,EMP01523,Finance,7,Excellent,High,81,Active
ATTR0001524,EMP01524,Marketing,4,Good,Low,39,Active
ATTR0001525,EMP01525,HR,5,Average,Low,20,Active
ATTR0001526,EMP01526,Marketing,6,Poor,Medium,61,Active
ATTR0001527,EMP01527,Sales,4,Poor,Medium,71,Active
ATTR0001528,EMP01528,Operations,6,Average,Low,43,Resigned
ATTR0001529,EMP01529,Marketing,1,Excellent,High,94,Active
ATTR0001530,EMP01530,IT,3,Good,Low,33,Active
ATTR0001531,EMP01531,Finance,6,Excellent,Low,35,Active
ATTR0001532,EMP01532,Finance,3,Excellent,Medium,56,Active
ATTR0001533,EMP01533,Marketing,2,Good,Medium,51,Active
ATTR0001534,EMP01534,IT,8,Average,Medium,61,Resigned
ATTR0001535,EMP01535,IT,10,Poor,High,83,Active
ATTR0001536,EMP01536,Marketing,7,Good,Low,30,Active
ATTR0001537,EMP01537,HR,4,Excellent,High,91,Active
ATTR0001538,EMP01538,Sales,1,Average,High,82,Active
ATTR0001539,EMP01539,Sales,0,Good,High,86,Active
ATTR0001540,EMP01540,Marketing,4,Excellent,Low,39,Active
ATTR0001541,EMP01541,Operations,2,Poor,Low,24,Active
ATTR0001542,EMP01542,Marketing,7,Good,High,98,Active
ATTR0001543,EMP01543,Marketing,8,Excellent,Low,26,Active
ATTR0001544,EMP01544,Marketing,9,Good,High,97,Active
ATTR0001545,EMP01545,Operations,1,Excellent,Low,42,Active
ATTR0001546,EMP01546,IT,3,Average,High,98,Active
ATTR0001547,EMP01547,IT,2,Poor,Low,34,Active
ATTR0001548,EMP01548,IT,10,Excellent,Low,35,Active
ATTR0001549,EMP01549,Sales,1,Poor,Low,34,Active
ATTR0001550,EMP01550,Finance,8,Good,High,81,Resigned
ATTR0001551,EMP01551,HR,11,Good,Medium,72,Resigned
ATTR0001552,EMP01552,Marketing,4,Average,Low,30,Active
ATTR0001553,EMP01553,IT,5,Excellent,Medium,58,Active
ATTR0001554,EMP01554,Operations,0,Excellent,Medium,51,Active
ATTR0001555,EMP01555,HR,1,Average,Low,31,Active
ATTR0001556,EMP01556,Finance,4,Good,High,78,Active
ATTR0001557,EMP01557,Finance,11,Average,High,87,Active
ATTR0001558,EMP01558,IT,5,Good,High,93,Resigned
ATTR0001559,EMP01559,HR,3,Average,Low,39,Active
ATTR0001560,EMP01560,Sales,6,Poor,Medium,67,Active
ATTR0001561,EMP01561,Finance,8,Poor,Medium,62,Active
ATTR0001562,EMP01562,Marketing,0,Excellent,Medium,67,Active
ATTR0001563,EMP01563,Operations,11,Poor,High,82,Active
ATTR0001564,EMP01564,Sales,7,Good,High,94,Active
ATTR0001565,EMP01565,Marketing,1,Good,Medium,55,Active
ATTR0001566,EMP01566,HR,4,Poor,Low,48,Resigned
ATTR0001567,EMP01567,HR,4,Excellent,Low,40,Active
ATTR0001568,EMP01568,Marketing,4,Good,Low,20,Active
ATTR0001569,EMP01569,IT,10,Excellent,High,91,Active
ATTR0001570,EMP01570,Sales,0,Poor,Low,24,Active
ATTR0001571,EMP01571,Sales,5,Poor,Low,22,Resigned
ATTR0001572,EMP01572,Operations,11,Poor,High,80,Active
ATTR0001573,EMP01573,Marketing,8,Poor,Low,25,Active
ATTR0001574,EMP01574,Operations,9,Good,Medium,55,Active
ATTR0001575,EMP01575,Operations,11,Poor,Medium,54,Active
ATTR0001576,EMP01576,HR,2,Good,Medium,71,Active
ATTR0001577,EMP01577,Sales,8,Good,Low,49,Active
ATTR0001578,EMP01578,HR,5,Poor,High,87,Active
ATTR0001579,EMP01579,Sales,8,Excellent,High,81,Active
ATTR0001580,EMP01580,Sales,4,Good,High,78,Active
ATTR0001581,EMP01581,Marketing,7,Good,Low,21,Resigned
ATTR0001582,EMP01582,Sales,5,Excellent,High,84,Active
ATTR0001583,EMP01583,HR,0,Excellent,High,93,Active
ATTR0001584,EMP01584,HR,6,Excellent,Medium,57,Active
ATTR0001585,EMP01585,Operations,10,Good,High,96,Resigned
ATTR0001586,EMP01586,Sales,4,Poor,Low,43,Active
ATTR0001587,EMP01587,HR,8,Excellent,Medium,69,Active
ATTR0001588,EMP01588,Operations,11,Good,Low,29,Resigned
ATTR0001589,EMP01589,Sales,1,Good,Medium,61,Active
ATTR0001590,EMP01590,Operations,2,Excellent,High,81,Active
ATTR0001591,EMP01591,Sales,10,Average,High,100,Active
ATTR0001592,EMP01592,Marketing,7,Average,Medium,61,Active
ATTR0001593,EMP01593,Sales,7,Good,Low,41,Active
ATTR0001594,EMP01594,Sales,9,Poor,Low,40,Active
ATTR0001595,EMP01595,Finance,8,Excellent,Low,37,Resigned
ATTR0001596,EMP01596,Operations,5,Average,Low,48,Active
ATTR0001597,EMP01597,Marketing,1,Poor,High,85,Active
ATTR0001598,EMP01598,Sales,10,Excellent,Low,46,Resigned
ATTR0001599,EMP01599,Marketing,10,Good,Low,29,Active
ATTR0001600,EMP01600,IT,2,Excellent,Low,21,Active
ATTR0001601,EMP01601,Operations,1,Average,High,79,Active
ATTR0001602,EMP01602,Marketing,0,Good,High,80,Active
ATTR0001603,EMP01603,Finance,4,Good,High,78,Active
ATTR0001604,EMP01604,Finance,3,Average,Medium,61,Active
ATTR0001605,EMP01605,Marketing,4,Excellent,Medium,61,Active
ATTR0001606,EMP01606,Finance,5,Excellent,High,92,Active
ATTR0001607,EMP01607,HR,5,Good,Low,49,Active
ATTR0001608,EMP01608,Marketing,3,Good,Low,20,Active
ATTR0001609,EMP01609,Finance,3,Poor,Low,41,Active
ATTR0001610,EMP01610,Finance,9,Excellent,Medium,65,Active
ATTR0001611,EMP01611,Marketing,1,Average,Medium,63,Active
ATTR0001612,EMP01612,Finance,10,Poor,Low,37,Resigned
ATTR0001613,EMP01613,Operations,10,Poor,Medium,61,Active
ATTR0001614,EMP01614,Finance,2,Good,High,86,Active
ATTR0001615,EMP01615,IT,6,Excellent,High,87,Active
ATTR0001616,EMP01616,Marketing,10,Good,High,78,Active
ATTR0001617,EMP01617,Sales,7,Excellent,Medium,51,Active
ATTR0001618,EMP01618,IT,4,Excellent,High,96,Active
ATTR0001619,EMP01619,Operations,8,Poor,Medium,73,Active
ATTR0001620,EMP01620,Sales,6,Average,Medium,57,Active
ATTR0001621,EMP01621,Marketing,5,Good,High,94,Resigned
ATTR0001622,EMP01622,Marketing,10,Poor,Medium,67,Active
ATTR0001623,EMP01623,IT,9,Good,Medium,68,Active
